IA_Name,Common_Name,CAS,CSID,Compound_Class,Log_P,Vapor_Pressure,Vapor_Pressure_At,FooDB_Odors,FooDB_Odor_Family
Vanillin,6-Hydroxypicolinic acid,121-33-5,212178,Methoxyphenols,NA,0.0,25°C,"vanilla, sweet, creamy, chocolate","balsamic, fatty"
Jasmone<Z->,Jasmone,488-10-8,9842,NA,2.9,0.0,25°C,"jasmine, woody, herbal, floral, spicy, jasmin, celery","floral, woody, spicy, vegetable"
"1,4-Dimethylnaphthalene","1,4-Dimethylnaphthalene",571-58-4,10829,NA,4.37,0.0,25°C,NA,NA
"4-(2,6,6-Trimethylcyclohexa-1,3-dienyl)but-3-en-2-one",NA,1203-08-3,NA,NA,NA,NA,NA,NA,NA
Caryophyllene<Z->,g-Caryophyllene,118-65-0,4444855,NA,6.78,0.0,25°C,"wood, woody, spicy","woody, spicy"
Carvone hydrate,5-(2-Hydroxy-2-propanyl)-2-methyl-2-cyclohexen-1-one,7712-46-1,126795,NA,0.65,0.0,25°C,NA,NA
Geranyl acetone,Geranylacetone,3796-70-1,1266569,NA,4.13,0.0,25°C,"magnolia, green, vegetable, herbaceous, fatty, spicy, floral, citrus, woody, meaty, wine_like, earthy, fruity, nutty, fresh, waxy, rose, tropical","green, vegetable, herbaceous, fatty, spicy, floral, citrus, woody, meaty, wine_like, earthy, fruity, nutty"
Decalactone<gamma->,5-Hexyldihydro-2(3H)-furanone,706-14-9,12285,NA,2.38,0.0,25°C,"peach, fat, fresh, oily, waxy, coconut, buttery, sweet","fruity, fatty, balsamic"
Methyl biphenyl<4->,4-Phenyltoluene,644-08-6,12047,NA,4.44,0.0,25°C,"fennel, floral, spicy, wintergreen, anise, waxy, mint","herbaceous, floral, spicy, green, balsamic"
Cabreuva oxide B,NA,107602-53-9,NA,NA,NA,NA,NA,NA,NA
Dodecanol<N->,Dodecan-1-ol,112-53-8,7901,Fatty alcohols,5.13,0.0,25°C,"fat, wax, coconut, soapy, earthy, waxy, fatty, honey","fruity, soapy, earthy, fatty, balsamic"
Cabreuva oxide D,NA,107602-52-8,NA,NA,NA,NA,NA,NA,NA
Amorphene<alpha->,Zizanene,20085-19-2,10193874,NA,6.56,0.0,25°C,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentadecane,Pentadecane,629-62-9,11885,NA,8.73,0.0,25°C,"alkane, waxy",NA
"3-Buten-2-one, 4-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]hept-1-yl)-","beta-Ionone 5,6-epoxide",23267-57-4,82081,NA,2.21,0.0,25°C,"fruit, sweet, wood, fruity, berry, woody, violet, orris, powdery","balsamic, fruity, woody, floral"
Ionone<(E)-beta->,"(3E)-4-[(1S)-2,6,6-Trimethyl-2-cyclohexen-1-yl]-3-buten-2-one",79-77-6,553580,NA,3.86,0.0,25°C,"seaweed, violet, flower, raspberry, orange, jam, dry, powdery, floral, woody, orris","floral, fruity, citrus, woody"
Muurolene<alpha->,NA,31983-22-9,NA,NA,NA,NA,NA,NA,NA
Cadinene<gamma->,(-)-g-cadinene,39029-41-9,83342,NA,6.55,0.0,25°C,NA,NA
140,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Phenoxyethyl isobutyrate,2-Phenoxyethyl 2-methylpropanoate,103-60-6,54966,NA,2.49,0.0,25°C,"sweet, fruity, tropical, rose, honey, floral, waxy","balsamic, fruity, floral"
Dibenzofuran,Dibenzofuran,132-64-9,551,NA,4.12,0.0,25°C,NA,NA
Amorphene<delta->,delta-Amorphene,189165-79-5,16737050,NA,6.54,0.0,25°C,NA,NA
"Phenol, 2,5-bis(1,1-dimethylethyl)-","3,5-Di-tert-butylphenol",1138-52-9,63989,NA,4.86,0.0,25°C,NA,NA
Cadinene<alpha->,NA,82468-90-4,NA,NA,NA,NA,NA,NA,NA
Calamenene<cis->,NA,72937-55-4,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,NA,NA,NA,NA
90 (A 130 post),Vinyl cyclohexanecarboxylate,4840-76-0,19740,NA,2.79,0.1,25°C,NA,NA
91,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadinene<delta->,"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",483-76-1,9806,Sesquiterpenoids,6.54,0.0,25°C,"thyme, medicine, wood, herbal, woody, dry",woody
66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",dihydroactinidiolide,17092-92-1,25323,NA,2.26,0.0,25°C,"musk, coumarin",spicy
61 (N118),NA,33440-00-5,NA,NA,NA,NA,NA,NA,NA
61 (N118),NA,33440-00-5,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calacorene<alpha->,"1-Isopropyl-4,7-dimethyl-1,2-dihydronaphthalene",21391-99-1,460799,NA,5.85,0.0,25°C,"wood, woody",woody
Dodecanoic acid,Lauric acid,143-07-7,3756,Medium-chain fatty acids,5.03,0.0,25°C,"metal, mild, fatty, coconut, bay oil","fatty, fruity"
131,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluorene,Fluorene,86-73-7,6592,NA,4.16,0.0,25°C,NA,NA
Nerolidol<E->,(.+/-.)-trans-Nerolidol,40716-66-3,4447568,NA,5.32,0.0,25°C,"wood, flower, wax, floral, green, citrus, woody, waxy","floral, green, citrus, woody"
68,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllene oxide,"4,5-Epoxy-4,11,11-trimethyl-8-methylenebicyclo(7.2.0)undecane",1139-30-6,13711,NA,4.57,0.0,25°C,"herb, sweet, spice, fresh, dry, woody, spicy","balsamic, woody, spicy"
Methyl jasmonate<Z->,Methyl (2-pent-2-enyl-3-oxo-1-cyclopentyl)acetate,1211-29-6,56176,NA,2.12,0.0,25°C,"jasmine, melon, floral, fresh, petal, magnolia, oily, waxy","floral, citrus, fatty"
94,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexenyl benzoate<2E->,2-Hexenyl benzoate,76841-70-8,4509338,NA,4.61,0.0,25°C,NA,NA
Fokienol,NA,33440-00-5,NA,NA,NA,NA,NA,NA,NA
Fokienol,NA,33440-00-5,NA,NA,NA,NA,NA,NA,NA
Hexadecane,Hexadecane,544-76-3,10540,NA,9.26,0.0,25°C,alkane,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrol,(+)-Cedrol,77-53-2,59018,NA,4.77,0.0,25°C,"cedarwood, woody, dry, sweet, soft","woody, balsamic"
Humulene epoxide II,"(1R,3E,7E,11R)-1,5,5,8-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",19888-34-7,8879522,NA,5.04,0.0,25°C,NA,NA
new 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cubenol<1-epi->,NA,19912-67-5,NA,NA,NA,NA,NA,NA,NA
new 5,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benzophenone,Benzophenone,119-61-9,2991,Benzophenones,3.18,0.0,25°C,"apricot, peach, balsam, rose, metallic, powdery, geranium","fruity, balsamic, floral"
72,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadinol<epi-alpha-> (=tau-cadinol),cedrelanol,5937-11-1,141284,NA,4.95,0.0,25°C,"odorless, balsam, earthy","balsamic, earthy"
Murrolol<epi-alpha-> (=tau-muurolol),"(1S,4S,4aR,8aS)-4-Isopropyl-1,6-dimethyl-1,2,3,4,4a,7,8,8a-octahydro-1-naphthalenol",19912-62-0,2341413,NA,4.95,0.0,25°C,"herb, weak spice, herbal, spicy",spicy
Muurolol<alpha-> (=Torreyol),Torreyol,19435-97-3,2341398,NA,4.95,0.0,25°C,NA,NA
Methyl dihydrojasmonate<cis->,(+)-cis-methyl dihydrojasmonate,39647-11-5,1376699,NA,2.5,0.0,25°C,"jasmine, jasmin",floral
Cadinol<alpha->,alpha-cadinol,481-34-5,8574094,NA,4.95,0.0,25°C,"herb, wood",NA
143,NA,NA,NA,NA,NA,NA,NA,NA,NA
new 6,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadalene,cadalin,483-78-3,9808,NA,5.71,0.0,25°C,NA,NA
Bisabolol<epi-alpha->,levomenol,23089-26-1,390796,NA,5.07,0.0,25°C,"herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut","fruity, nutty"
Bisabolol<epi-alpha->,levomenol,23089-26-1,390796,NA,5.07,0.0,25°C,"herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut","fruity, nutty"
Bisabolol<alpha->,levomenol,23089-26-1,390796,NA,5.07,0.0,25°C,"herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut","fruity, nutty"
Bisabolol<alpha->,levomenol,23089-26-1,390796,NA,5.07,0.0,25°C,"herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut, herb, fruity, nutty, coconut","fruity, nutty"
Heptadecane (C17),Heptadecane,629-78-7,11892,NA,9.79,0.0,25°C,alkane,NA
126,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,NA
